"期間","売上","入金","未収金","宿泊人数","大人","子供A","子供B","子供C","子供D","子供E","子供F","子供その他","販売客室数","OCC","ADR","RevPAR"
"2026-05-01","11438","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-05-02","333023","0","0","18","13","0","0","0","0","1","0","0","6","0.1935","55503.83","10742.68"
"2026-05-03","1233185","0","1200","62","47","1","4","1","0","5","0","0","20","0.6452","61659.25","39780.16"
"2026-05-04","330138","0","600","18","17","1","0","0","0","0","0","0","9","0.2903","36682","10649.61"
"2026-05-05","195300","0","0","11","11","0","0","0","0","0","0","0","5","0.1613","39060","6300"
"2026-05-06","91000","0","0","7","7","0","0","0","0","0","0","0","4","0.129","22750","2935.48"
"2026-05-07","60000","0","0","6","6","0","0","0","0","0","0","0","6","0.1935","10000","1935.48"
"2026-05-08","100000","0","0","10","10","0","0","0","0","0","0","0","6","0.1935","16666.67","3225.81"
"2026-05-09","33500","0","0","3","3","0","0","0","0","0","0","0","2","0.0645","16750","1080.65"
"2026-05-10","214100","0","0","9","9","0","0","0","0","0","0","0","5","0.1613","42820","6906.45"
"2026-05-11","38700","0","0","4","4","0","0","0","0","0","0","0","4","0.129","9675","1248.39"
"2026-05-12","69900","0","0","7","7","0","0","0","0","0","0","0","6","0.1935","11650","2254.84"
"2026-05-13","100820","0","0","40","40","0","0","0","0","0","0","0","20","0.6452","5041","3252.26"
"2026-05-14","59700","0","0","6","6","0","0","0","0","0","0","0","6","0.1935","9950","1925.81"
"2026-05-15","61500","0","0","7","7","0","0","0","0","0","0","0","6","0.1935","10250","1983.87"
"2026-05-16","473250","0","0","32","30","0","0","1","0","1","0","0","18","0.5806","26291.67","15266.13"
"2026-05-17","170450","0","0","15","15","0","0","0","0","0","0","0","15","0.4839","11363.33","5498.39"
"2026-05-18","212500","0","0","19","19","0","0","0","0","0","0","0","18","0.5806","11805.56","6854.84"
"2026-05-19","242200","0","0","20","20","0","0","0","0","0","0","0","19","0.6129","12747.37","7812.9"
"2026-05-20","142200","0","0","14","14","0","0","0","0","0","0","0","14","0.4516","10157.14","4587.1"
"2026-05-21","166238","0","0","16","16","0","0","0","0","0","0","0","15","0.4839","11082.53","5362.52"
"2026-05-22","125500","0","13000","17","15","0","1","0","0","1","0","0","7","0.2258","17928.57","4048.39"
"2026-05-23","153750","0","0","14","14","0","0","0","0","0","0","0","6","0.1935","25625","4959.68"
"2026-05-24","4830","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-05-25","25360","0","0","2","2","0","0","0","0","0","0","0","1","0.0323","25360","818.06"
"2026-05-26","24760","0","0","2","2","0","0","0","0","0","0","0","1","0.0323","24760","798.71"
"2026-05-27","21700","0","0","2","2","0","0","0","0","0","0","0","1","0.0323","21700","700"
"2026-05-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2026-05-29","33000","0","0","4","4","0","0","0","0","0","0","0","3","0.0968","11000","1064.52"
"2026-05-30","88600","0","0","8","8","0","0","0","0","0","0","0","5","0.1613","17720","2858.06"
"2026-05-31","1300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
